security_name,security_name_full,security_name_tiny,security_code
"ROSN [TQBR]","ПАО НК Роснефть",Роснефть,ROSN
"RSTI [TQBR]",""Российские сети" ПАО ао","Россети ао",RSTI
"RSTIP [TQBR]",""Российские сети" ПАО ап","Россети ап",RSTIP
"RTKM [TQBR]","Ростелеком (ПАО) ао.","Ростел -ао",RTKM
"RTKMP [TQBR]","Ростелеком (ПАО) ап.","Ростел -ап",RTKMP
"AQUA [TQBR]","Русская Аквакультура ПАО ао","РусАква ао",AQUA
"HYDR [TQBR]","ПАО "РусГидро"",РусГидро,HYDR
"RUGR [TQBR]","Русгрэйн Холдинг ПАО ао",Русгрэйн,RUGR
"ROLO [TQBR]",""Русолово" ПАО ао",Русолово,ROLO
"RUSP [TQBR]","Русполимет ПАО ао",Русполимет,RUSP
"RNFT [TQBR]","РуссНефть НК ПАО ао","РуссНфт ао",RNFT
"RZSB [TQBR]",""Рязанская энергосб.комп" ПАО",РязЭнСб,RZSB
"SFIN [TQBR]","САФМАР Фин.Инвестиции ПАО ао","САФМАР ао",SFIN
"SZPR [TQBR]","Сев.-зап. пароходство ПАО",СЗПароход,SZPR
"MGNZ [TQBR]","Соликамский магн.завод(ОАО)ао",СМЗ-ао,MGNZ
"SVAV [TQBR]","ОАО "СОЛЛЕРС" ао",СОЛЛЕРС,SVAV
"SAGO [TQBR]","Самараэнерго (ПАО) - ао",СамарЭн-ао,SAGO
"SAGOP [TQBR]","Самараэнерго (ПАО) - ап",СамарЭн-ап,SAGOP
"KRKN [TQBR]","Саратовский НПЗ ПАО ао",СаратНПЗ,KRKN
"KRKNP [TQBR]","Саратовский НПЗ ПАО ап",СаратНПЗ-п,KRKNP
"SARE [TQBR]",Саратовэнерго(ПАО)-ао,СаратЭн-ао,SARE
"SAREP [TQBR]",Саратовэнерго(ПАО)-ап,СаратЭн-ап,SAREP
"SLEN [TQBR]","ПАО "Сахалинэнерго" ао","Сахэнер ао",SLEN
"SBER [TQBR]","Сбербанк России ПАО ао",Сбербанк,SBER
